college_name,about,address,affiliated,state,college_type,established,exam,courses,accreditations,approvals,gender,student_count,faculty_count,gender_percentage,campus_size,website_link
"MAR Polytechnic College, Pudukkottai",NA,"MAR Polytechnic College, Trichy - Madurai NH, Toll Plaza, Viralimalai, Pincode: 621316, Pudukkottai District, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2004,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,1508,84,NA,"10, acres",https://www.careers360.com/colleges/mar-polytechnic-college-pudukkottai
"MEASI Academy of Architecture, Chennai",NA,"MEASI Academy of Architecture, 87 Peters Road, Royapettah (Inside The New College campus), Chennai, Pin code:600014, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1999,NA,"2, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,861,58,NA,"2, acres",https://www.careers360.com/colleges/measi-academy-of-architecture-chennai
"MET Engineering College, Kanyakumari",NA,"MET Engineering College, N0.13/142 A9/9, Mogals Garden, Poigai Dam Road, Chenbagaramanputhoor, Nagercoil, and PO, Pincode-629304, Kanyakumari District, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"2, Degrees and, ,10, Courses",NA,Affiliated,Co-ed,426,126,NA,"11, acres",https://www.careers360.com/colleges/met-engineering-college-kanyakumari
"MIET Polytechnic College, Tiruchirappalli",NA,"MIET Polytechnic College, Trichy-Pudukottai Road, Gundur, Tiruchirapalli-620007, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1984,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,1323,86,NA,"20, acres",https://www.careers360.com/colleges/miet-polytechnic-college-tiruchirappalli
"MIET Engineering College, Tiruchirappalli",NA,"MIET Engineering College, Trichy-Pudukottai Road, Pincode-620007, Tiruchirappallai, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1998,NA,"4, Degrees and , ,16, Courses",NA,Affiliated,Co-ed,1751,145,Male 74% and Female 26%,"26, acres",https://www.careers360.com/colleges/miet-engineering-college-tiruchirappalli
"MSPVL Polytechnic College, Tirunelveli",NA,"MSPVL Polytechnic College, Main Road, Sivagamipuram, Pavoorchatram, Pincode 627808, Tirunelveli, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1985,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,1823,95,NA,"40, acres",https://www.careers360.com/colleges/mspvl-polytechnic-college-tirunelveli
"MIT Polytechnic College, Salem",NA,"MIT Polytechnic College, Cauvery Cross, Navapatti Post, Mettur-Bhavani Main Road, Mettur-636452, Salem District, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,503,51,NA,"54, acres",https://www.careers360.com/colleges/mit-polytechnic-college-salem
"MMES Academy of Architecture, Vellore",NA,"MMES Academy of Architecture, Hakeem Nagar, Melvisharam - 632 509, Ranipet, District, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2017,NA,"1, Degrees and , ,1, Courses",NA,Affiliated,Co-ed,20,12,NA,"3, acres",https://www.careers360.com/colleges/mmes-academy-of-architecture-vellore
"MP Nachimuthu M Jaganathan Engineering College, Chennimalai",NA,"MP Nachimuthu M Jaganathan Engineering College, Sudhanandhen Kalvi Nagar, Chennimalai, Erode-638112, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,TANCET,"4, Degrees and , ,13, Courses",NA,Affiliated,Co-ed,1223,124,NA,"23, acres",https://www.careers360.com/colleges/mp-nachimuthu-m-jaganathan-engineering-college-chennimalai
"MNSK College of Engineering, Pudukkottai",NA,"MNSK College of Engineering, Dhakshinapuram, Vallathirakkottai (Post), Pudukkottai-622305, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2002,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,135,64,NA,"27, acres",https://www.careers360.com/colleges/mnsk-college-of-engineering-pudukkottai
"MRK Polytechnic College, Cuddalore",NA,"MRK Polytechnic College, Nattarmangalam and Post, Kattumanarkoil, Cuddalore-608301, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,450,76,NA,"6, acres",https://www.careers360.com/colleges/mrk-polytechnic-college-cuddalore
"MS Polytechnic College, Pudukkottai",NA,"MS Polytechnic College, Kurunthirakottai Road, Rajendrapuram Village, Aranthangi Tk, Pudukkottai-614624, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2013,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,NA,469,39,NA,"6, acres",https://www.careers360.com/colleges/ms-polytechnic-college-pudukkottai
"MRK Institute of Technology, Cuddalore",NA,"MRK Institute of Technology, Nattarmangalam Post, Kattumannarkoil Taluk, Cuddalore, Pincode 608301, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,"JEE Main,TANCET","3, Degrees and , ,8, Courses",NA,Affiliated,Co-ed,815,105,NA,"13, acres",https://www.careers360.com/colleges/mrk-institute-of-technology-cuddalore
"Madha School of Architecture, Chennai",NA,"Madha School of Architecture, Madha Nagar, Somangalam Road, Kundrathur, Chennai, Pincode 600069, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,https://www.careers360.com/colleges/madha-school-of-architecture-chennai
"Madha Institute of Engineering and Technology, Chennai",NA,"Madha Institute of Engineering and Technology, Anagaputhur, Pallavaram, Chennai-600122, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"2, Degrees and , ,9, Courses",NA,Affiliated,Co-ed,46,46,NA,"11, acres",https://www.careers360.com/colleges/madha-institute-of-engineering-and-technology-chennai
"Maha Barathi Engineering College, Villupuram",NA,"Maha Barathi Engineering College, NH 79, Salem-Chennai Main Road, A. Vasudevanur, Chinna Salem, Villupuram Dt-606201, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2007,NA,"2, Degrees and , ,10, Courses",NA,Affiliated,Co-ed,1165,109,NA,"16, acres",https://www.careers360.com/colleges/maha-barathi-engineering-college-villupuram
"Madha Engineering College, Chennai",NA,"Madha Engineering College, Madha Nagar, Kundrathur, Chennai-600069, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1998,NA,"4, Degrees and , ,17, Courses",NA,Affiliated,Co-ed,717,118,NA,"33, acres",https://www.careers360.com/colleges/madha-engineering-college-chennai
"Magna College of Engineering, Kancheepuram",NA,"Magna College of Engineering, Redhills - Tiruvallur High Road,  Magaral, Chennai - 600055, Kancheepuram, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1999,NA,NA,NA,Affiliated,NA,NA,50,NA,"75, acres",https://www.careers360.com/colleges/magna-college-of-engineering-kancheepuram
"Madurai Institute of Engineering and Technology, Sivaganga",NA,"Madurai Institute of Engineering and Technology, Near Madurai, Madurai-Chinthamani, Nedungulam Road, Pottapalayam, Sivagangai District - 630611, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"3, Degrees and , ,10, Courses",NA,Affiliated,Co-ed,347,112,NA,"11, acres",https://www.careers360.com/colleges/madurai-institute-of-engineering-and-technology-sivaganga
"Mahalakshmi Engineering College, Tiruchirappalli",NA,"Mahalakshmi Engineering College, Trichy - Salem Main Road, Thudaiyur Post, Tiruchirappalli-621213, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2011,NA,"1, Degrees and , ,10, Courses",NA,Affiliated,Co-ed,112,49,NA,"20, acres",https://www.careers360.com/colleges/mahalakshmi-engineering-college-tiruchirappalli
"Mahakavi Bharathiyar College of Engineering and Technology, Tirunelveli",NA,"Mahakavi Bharathiyar College of Engineering and Technology, Kovil Nagar, Vasudevanallur, Sivagiri, Tirunelveli Dist-627758, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,132,48,NA,"50, acres",https://www.careers360.com/colleges/mahakavi-bharathiyar-college-of-engineering-and-technology-tirunelveli
"Maharaja Engineering College for Women, Erode",NA,"Maharaja Engineering College For Women, Perundurai Main Road, Erode - 638052, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1994,NA,NA,NA,NA,Female,NA,NA,NA,NA,https://www.careers360.com/colleges/maharaja-engineering-college-for-women-erode
"Maharaja Institute of Technology, Coimbatore",NA,"Maharaja Institute of Technology, Arasur (Po) (TK), Coimbatore-641407, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2006,NA,NA,NA,Affiliated,Co-ed,43,51,NA,NA,https://www.careers360.com/colleges/maharaja-institute-of-technology-coimbatore
"Mahath Amma Polytechnic College, Pudukkottai",NA,"Mahath Amma Polytechnic College, N.M.Nagar, Ariyur, Sithannavasal Road, Pudukkottai-622101, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,300,71,NA,"6, acres",https://www.careers360.com/colleges/mahath-amma-polytechnic-college-pudukkottai
"Maharaja Engineering College, Coimbatore", ,"Maharaja Engineering College, Palankarai Village, Avinashi (TK), Coimbatore, Pincode 641654, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1994,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,NA,NA,NA,NA,https://www.careers360.com/colleges/maharaja-engineering-college-coimbatore
"Mahath Amma Institute of Engineering and Technology, Pudukkottai",NA,"Mahath Amma Institute of Engineering and Technology, NM Nagar, Ariyur, Sithannavasal Road, Pudukkottai-622101, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"2, Degrees and , ,11, Courses",NA,Affiliated,Co-ed,398,114,NA,"13, acres",https://www.careers360.com/colleges/mahath-amma-institute-of-engineering-and-technology-pudukkottai
"Maharaja Prithvi Engineering College, Coimbatore",NA,"Maharaja Prithvi Engineering College, Palankarai Village, Avinashi (TK), Coimbatore–641654, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1994,NA,NA,NA,Affiliated,Co-ed,497,203,NA,NA,https://www.careers360.com/colleges/maharaja-prithvi-engineering-college-coimbatore
"Maharaja Polytechnic College, Sivaganga",NA,"Maharaja Polytechnic College, Aralippatti Vilakku, Thirupathur-Singampunari Via, SV Mangalam, SVMangalam-630501, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,300,41,NA,"5, acres",https://www.careers360.com/colleges/maharaja-polytechnic-college-sivaganga
"Maharani Polytechnic College, Dharapuram",NA,"Maharani Polytechnic College, 1/74, Nanjiyampalayam, Dharapuram, District Tirupur-638657, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2007,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,612,58,NA,"6, acres",https://www.careers360.com/colleges/maharani-polytechnic-college-dharapuram
"Mahendra Engineering College for Women, Tiruchengode",NA,"Mahendra Engineering College for Women, Kumaramangalam, Namakkal Road, Tiruchengode, Namakkal-637205, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2008,NA,"2, Degrees and , ,6, Courses",NA,Affiliated,NA,1139,89,NA,NA,https://www.careers360.com/colleges/mahendra-engineering-college-for-women-tiruchengode
"Mahendra College of Engineering, Salem",NA,"Mahendra College of Engineering, Chennai Main Road, Minnampalli, Salem DT-636106, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2005,TANCET,"5, Degrees and , ,21, Courses",NAAC,Affiliated,NA,1506,224,Male 67% and Female 33%,"18, acres",https://www.careers360.com/colleges/mahendra-college-of-engineering-salem
"Mahendra Engineering College, Namakkal","Established in 1995, Mahendra Engineering College is an autonomous institution approved by the All Indian Council for Technical Education (AICTE). The college is recognised by University Grants Commission (UGC). Mahendra Engineering College is affiliated to ,. The college has been accredited by the National Assessment and Accreditation Council with a grade of ‘A’. Mahendra Engineering College is offering 16 undergraduate and 9 postgraduate programmes. As per the official website of Mahendra Engineering College, the mission is to ensure the effective use of resources to mould the students as professionals and entrepreneurs. ","Mahendra Engineering College, Salem-Thiruchengode Highway, Mahendhirapuri, Mallasamudram, Namakkal DT, Tamilnadu, India, Pincode: 637503","Anna University, Chennai",Tamil Nadu,Private,1995,NA,"4, Degrees and, ,25, Courses",NAAC,Autonomous,Co-ed,3745,451,Male 78% and Female 22%,"130, acres",https://www.careers360.com/colleges/mahendra-engineering-college-namakkal
"Mahendra Polytechnic College, Namakkal",NA,"Mahendra Polytechnic College, Mahendrapuri, Vadugapalayam (PO), Tiruchencgode (Tk), Namakkal-637503, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2005,NA,"1, Degrees and, ,6, Courses",NA,Affiliated,NA,820,65,NA,NA,https://www.careers360.com/colleges/mahendra-polytechnic-college-namakkal
"Mahendra Institute of Technology, Tiruchengode",NA,"Mahendra Institute of Technology, Salem-Thiruchengode Highway, Mahendhirapuri, Mallasamudram,  Namakkal DT, Tamilnadu- 637503, India","Anna University, Chennai",Tamil Nadu,Private,2007,NA,"3, Degrees and , ,14, Courses",NAAC,Affiliated,NA,1754,237,Male 77% and Female 23%,NA,https://www.careers360.com/colleges/mahendra-institute-of-technology-tiruchengode
"Maisurii Polytechnic College, Salem",NA,"Maisurii Polytechnic College, Kanagagiri,  Kakapalayam (po), Salem - 637504, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2007,NA,NA,NA,Affiliated,NA,NA,60,NA,NA,https://www.careers360.com/colleges/maisurii-polytechnic-college-salem
"Mailam Engineering College, Villupuram",NA,"Mailam Engineering College, Mailam, Tindivanam Taluk, Villupuram District, Tamil Nadu–604304, India","Anna University, Chennai",Tamil Nadu,Private,1998,TANCET,"4, Degrees and , ,14, Courses",NA,Affiliated,NA,2098,301,Male 74% and Female 26%,"42, acres",https://www.careers360.com/colleges/mailam-engineering-college-villupuram
"Mangayarkarasi College of Engineering, Madurai",NA,"Mangayarkarasi College of Engineering, 7-1-139, 1st Street, Mangayarkarasi Nagar, Paravai, Madurai, Pincode 625402, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2013,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,676,67,NA,"12, acres",https://www.careers360.com/colleges/mangayarkarasi-college-of-engineering-madurai
"Mahendra Institute of Engineering and Technology, Tiruchengode",NA,"Mahendra Institute of Engineering and Technology, Mahendrapuri, Mallasamudram(W), Thiruchengode, Namakkal-637503, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"2, Degrees and , ,8, Courses",NA,Affiliated,NA,916,130,NA,"4, acres",https://www.careers360.com/colleges/mahendra-institute-of-engineering-and-technology-tiruchengode
"Mannar Thirumalai Naicker College, Madurai",NA,"Mannar Thirumalai Naicker College, Pasumalai, Madurai, Pincode: 625004, Tamil Nadu, India","Madurai Kamaraj University, Madurai",Tamil Nadu,Private,1974,NA,"13, Degrees and , ,38, Courses",NAAC,Autonomous,NA,4255,177,Male 64% and Female 36%,"32, acres",https://www.careers360.com/colleges/mannar-thirumalai-naicker-college-madurai
"Manonmaniam Sundaranar University, Tirunelveli","was established in the year 1990 as a teaching-cum-affiliating University by the Government of Tamil Nadu. The university is also known as MSU Tirunelveli and it is named after Tamil Poet scholar, Professor P. Sundaram Pillai the author of the famous verse drama Manonmaniam. The campus is spread over 550 acres of land. 77 affiliated Colleges, 6 University Colleges and 4 Constituent Colleges comes under MSU Tirunelveli. Animal Science, Biotechnology, Chemistry, Commerce, Communication, Computer, Science & Engg, Criminology, Economics, Education, English, Environmental Science, Geotechnology, History, Info.Technology & Engg, Management Studies, Marine Science, Mathematics, Pharmaceutical Chemistry, Physics, Physical Education & Sports, Plant Science, Psychology, Renewable Energy, Social Exclusion, Sociology, Statistics, Tamil, DDCE-B.Ed are the academic departments of MSU offering undergraduate, postgraduate and doctoral programmes to the students. However, in NIRF 2021 ranking, Manonmaniam Sundaranar University, Tirunelveli has been ranked 70th in the university category.  ","Manonmaniam Sundaranar University, Abishekapatti, Tirunelveli - 627012, Tamil Nadu, India",NA,Tamil Nadu,Government,1990,TANCET,"28, Degrees and , ,1670, Courses",NAAC,UGC,Co-ed,31874,123,Male 22% and Female 78%,"550, acres",https://www.careers360.com/university/manonmaniam-sundaranar-university-tirunelveli
"Maria College of Engineering and Technology, Kanyakumari",NA,"Maria College of Engineering and Technology, Attoor, Thiruvattar (P.O), Near Marthandam-629177, Kanyakumari, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2008,NA,"3, Degrees and , ,14, Courses",NA,Affiliated,Co-ed,880,142,NA,"10, acres",https://www.careers360.com/colleges/maria-college-of-engineering-and-technology-kanyakumari
"Mar Gregorios College of Arts and Science, Chennai",NA,"Mar Gregorios College of Arts and Science, Block No.8, College Road, Mogappair West, Chennai, Pincode: 600037, Tamil Nadu, India","University of Madras, Chennai",Tamil Nadu,Private,1997,NA,"8, Degrees and , ,21, Courses",NA,Affiliated,Co-ed,2896,117,NA,"8, acres",https://www.careers360.com/colleges/mar-gregorios-college-of-arts-and-science-chennai
"Manora Polytechnic College, Pattukkottai",NA,"Manora Polytechnic College, Karkkavayal- Kottakudi- Village, Pannavayal- Post, Pattukkottai-Tk, Thanjavur –Dt, Tamil Nadu, Pincode: 614602, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and, ,4, Courses",NA,Affiliated,NA,533,30,NA,"6, acres",https://www.careers360.com/colleges/manora-polytechnic-college-pattukkottai
"Maria Polytechnic College, Kanyakumari",NA,"Maria Polytechnic College, Chanivilai, Kumarankudi, Chenkodi Post, (Via) Thiruvattar, Near Marthandam, Kanyakumari-629171, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2011,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,570,90,NA,"6, acres",https://www.careers360.com/colleges/maria-polytechnic-college-kanyakumari
"Maruthi Polytechnic College, Attur",NA,"Maruthi Polytechnic College, Manivizhundhan South, Attur- 636112, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1996,NA,NA,NA,Affiliated,NA,1053,52,NA,NA,https://www.careers360.com/colleges/maruthi-polytechnic-college-attur
"Marutam Nelli Polytechnic College, Dharmapuri",NA,"Marutam Nelli Polytechnic College, 2/1, Pennagaram Main Road, Pallapatti, Nathahalli, Dharmapuri-636803, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,NA,657,42,NA,"6, acres",https://www.careers360.com/colleges/marutam-nelli-polytechnic-college-dharmapuri
"Mar Ephraem College of Engineering and Technology, Kanyakumari",NA,"Mar Ephraem College of Engineering and Technology, Malankara Hills, Elavuvilai, Marthandam-629171, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,TANCET,"4, Degrees and , ,11, Courses",NAAC,Affiliated,Co-ed,1342,115,NA,"12, acres",https://www.careers360.com/colleges/mar-ephraem-college-of-engineering-and-technology-kanyakumari
"McGAN's Ooty School of Architecture, Ooty",NA,"McGANs Ooty School of Architecture, 5/635 Perar, Kotagiri Road, The Nilgiris, Ooty-643002, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2008,NA,"2, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,350,27,NA,"5, acres",https://www.careers360.com/colleges/mcgans-ooty-school-of-architecture-ooty
"Meenakshi Ammal Polytechnic College, Uthiramerur",NA,"Meenakshi Ammal Polytechnic College, Malliyankaranai, Uthiramerur, District-Kancheepuram, Pincode-603406, Tamil Nadu India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1983,NA,"1, Degrees and, ,6, Courses",NA,Affiliated,NA,919,72,NA,"21, acres",https://www.careers360.com/colleges/meenakshi-ammal-polytechnic-college-uthiramerur
"Mechanical Training Institute, Kanchipuram",NA,"Mechanical Training Institute, MTI, Air Force Station Tambaram, East Tambaram, Chennai, Kanchipuram-600059, Tamil Nadu, India",NA,Tamil Nadu,Government,2003,NA,"1, Degrees and , ,1, Courses",NA,NA,Co-ed,1550,205,NA,NA,https://www.careers360.com/colleges/mechanical-training-institute-kanchipuram
"Meenaakshi Ramasamy Polytechnic College, Thathanur",NA,"Meenaakshi Ramasamy Polytechnic College, M.R Kalvi Nagar, Trichy Main Road, Thathanur (Po), Udayarpalayam (Tk), Ariyalur (Dt), Pincode 621804, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2007,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,1025,54,NA,"5, acres",https://www.careers360.com/colleges/meenaakshi-ramasamy-polytechnic-college-thathanur
"Meenakshi Krishnan Polytechnic College, Chennai",NA,"Meenakshi Krishnan Polytechnic College, No.4, Ramson Garden, Shankar Nagar, Pammal, Chennai – 600075, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1984,NA,"1, Degrees and, ,5, Courses",NA,Affiliated,NA,596,57,NA,"6, acres",https://www.careers360.com/colleges/meenakshi-krishnan-polytechnic-college-chennai
"Meenakshi College of Engineering, Chennai",NA,"Meenakshi College of Engineering, No-12, Vembuliamman Koil Street, West KK Nagar, Chennai, Tamil Nadu-600078, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"6, Degrees and , ,14, Courses",NA,Affiliated,Co-ed,1501,222,NA,"5, acres",https://www.careers360.com/colleges/meenakshi-college-of-engineering-chennai
"Meenakshi Ramaswamy Arts and Science College, Ariyalur",NA,"Meenakshi Ramaswamy Arts and Science College, Trichy Main Road, MR Kalvi Nagar, Thathanur-PO, Udayarapalyam-TK, Dist. Ariyalur-621804, Tamil Nadu, India","Bharathidasan University, Tiruchirappalli",Tamil Nadu,Private,2001,NA,"10, Degrees and, ,40, Courses",NA,Affiliated,Co-ed,890,88,NA,"10, acres",https://www.careers360.com/colleges/meenakshi-ramaswamy-arts-and-science-college-ariyalur
"Mechanical Transport Training Institute, Thiruvallur",NA,"Mechanical Transport Training Institute, Air Force Station, Avadi, Chennai, Thiruvallur-600055, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Government,2003,NA,"1, Degrees and , ,1, Courses",NA,Affiliated,Co-ed,240,23,NA,NA,https://www.careers360.com/colleges/mechanical-transport-training-institute-thiruvallur
"Meenakshi Ramaswamy Engineering College, Ariyalur",NA,"Meenakshi Ramaswamy Engineering College, Trichy Main Road, MR Kalvi Nagar, Thathanur (PO), Udayarpalayam (TK), Pincode-621804, Ariyalur (DT), Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"3, Degrees and , ,9, Courses",NA,Affiliated,Co-ed,842,90,NA,"11, acres",https://www.careers360.com/colleges/meenakshi-ramaswamy-engineering-college-ariyalur
"Meenakshi Sundararajan Engineering College, Chennai","Established in the year ,, , is a private engineering institute. The institute is also known as ,.  Meenakshi Sundararajan Engineering College was established by the Indian Institute of Engineering Technology (IIET). Meenakshi Sundararajan Engineering College is a part of the KRS Group of Institutions. Meenakshi Sundararajan Engineering College is affiliated to , ","Meenakshi Sundararajan Engineering College, 363, Arcot Road, Kodambakkam, Chennai - 600024, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"2, Degrees and, ,8, Courses",NA,Affiliated,Co-ed,1487,123,Male 58% and Female 42%,"15, acres",https://www.careers360.com/colleges/meenakshi-sundararajan-engineering-college-chennai
"Merit Polytechnic College, Tirunelveli",NA,"Merit Polytechnic College, Idaikal-627821, Tirunelveli, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2011,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,432,46,NA,"50, acres",https://www.careers360.com/colleges/merit-polytechnic-college-tirunelveli
"Misrimal Navajee Munoth Jain School of Architecture, Chennai",NA,"Misrimal Navajee Munoth Jain School of Architecture, Jyothi Nagar, Thorapakkam, Chennai-600097, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2012,NA,"1, Degrees and , ,1, Courses",NA,Affiliated,Co-ed,157,15,NA,"2, acres",https://www.careers360.com/colleges/misrimal-navajee-munoth-jain-school-of-architecture-chennai
"Modern Arts and Science College, Jayankondam",NA,"Modern Arts and Science College, Palakalai Nagar, Virudhachalam Main Road, Mahimaipuram, Jayankondam, Ariyalur, Pincode-621802, Tamil Nadu, India","Bharathidasan University, Tiruchirappalli",Tamil Nadu,Private,2004,NA,"9, Degrees and , ,19, Courses",NA,Affiliated,Co-ed,586,45,NA,NA,https://www.careers360.com/colleges/modern-arts-and-science-college-jayankondam
"Modern Polytechnic College, Jayankondam",NA,"Modern Polytechnic College, Virudhachalam Mainroad, Mahimaipuram, Jayankondam - Ariyalur Dist -621802, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2012,NA,NA,NA,Affiliated,NA,610,47,NA,NA,https://www.careers360.com/colleges/modern-polytechnic-college-jayankondam
"Mepco Schlenk Engineering College, Sivakasi"," was established in 1984. The college is accredited by the National Assessment and Accreditation Council (,) with grade A and the National Board of Accreditation (,). Mepco Schlenk Engineering College, Sivakasi is also recognised by the University Grants Commission (,). Mepco Schlenk Engineering College is affiliated to ,. The college is , certified. The college has been ranked at , in the , category in the NIRF Ranking 2021. Mepco Schlenk Engineering College, Sivakasi offers ,, M.E/M.Tech, ,, M.C.A. and Ph.D programmes. The programmes are approved by the All India Council for Technical Education (,).","Mepco Schlenk Engineering College, Mepco Nagar, Mepco Engineering College Post - 626005, Sivakasi, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,1984,TANCET,"5, Degrees and, ,37, Courses",NAAC,Autonomous,Co-ed,3832,286,Male 61% and Female 39%,"195, acres",https://www.careers360.com/colleges/mepco-schlenk-engineering-college-sivakasi
"Misrimal Navajee Munoth Jain Engineering College, Chennai",NA,"Misrimal Navajee Munoth Jain Engineering College, Guru Marudhar Kesari Building, Jyothi Nagar, Thoraipakkam, Pincode 600097, Chennai, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1994,NA,"4, Degrees and , ,12, Courses",NA,Affiliated,Co-ed,1530,124,Male 69% and Female 31%,"17, acres",https://www.careers360.com/colleges/misrimal-navajee-munoth-jain-engineering-college-chennai
"Mohamed Sathak AJ Academy of Architecture, Chennai",NA,"Mohamed Sathak AJ Academy of Architecture, 34, Rajiv Gandhi Salai (OMR), Inside Sipcot It Park, Siruseri, Egattur, Pincode: 603103, Chennai, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2010,NA,"2, Degrees and , ,2, Courses",NA,Affiliated,Co-ed,506,37,NA,"3, acres",https://www.careers360.com/colleges/mohamed-sathak-aj-academy-of-architecture-chennai
"Mohamed Sathak AJ College of Engineering, Chennai",NA,"Mohamed Sathak AJ College of Engineering, 34, Rajiv Gandhi Salai (OMR), Siruseri IT Park, Siruseri, Chennai-603103, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"2, Degrees and , ,11, Courses",NA,Affiliated,Co-ed,532,87,NA,"70, acres",https://www.careers360.com/colleges/mohamed-sathak-aj-college-of-engineering-chennai
