exam_name,about,full_exam_name,short_exam_name,conducting_body,freq_of_conduct,exam_level,languages,mode_of_application,application_fee,mode_of_exam,mode_of_counselling,exam_duration,number_of_seats,education,age,website_link,exam_pattern
Arunachal Pradesh Public Service Commission Exam,"Arunachal Pradesh Public Service Commission has released the notification of APPSC Combined Competitive Exam 2020 on February 11. Candidates can apply for the exam from June 21 to July 31, 2020. APPSCCE 2020 prelims exam is scheduled to be conducted on November 01, 2020 (Prev. May 17, 2020), while the mains exam will be conducted on from February 06, 2021 (Prev. October 9 to 17, 2020). The eligibility criteria of APPSCCE states that the candidates must have a Bachelor's degree. The APPSCC preliminary exam will be 2 hours long, carrying 250 marks. The main exam of APPSCCE carries 200 marks out of which candidates must score at least 33% in each paper and 45% overall to qualify for the interview. APPSCCE preliminary exam, one mark will be awarded for every correct answer whereas every incorrect response will deduct 1/3 mark. The exam is conducted for the recruitment of candidates for various state services departments and posts like State Civil Services, State Police Services, Women & Child Development Department, Disaster Management Department, etc. ",Arunachal Pradesh Public Service Commission Combined Competition Exam,Arunachal Pradesh Public Service Commission,Arunachal Pradesh Public Service Commission,NA,NA,"English, Hindi",Offline,150 Rs ,Offline,NA,NA,79 Seats,NA,NA,NA,NA
IB Security Assistant Exam Exam,"Intelligence Bureau Ministry of Home Affairs conducts the recruitment exam to fill the vacancies for the post of Security Assistant(Executive) in three stages - Tier - I, II and III(Interview). The IB Security Assistant(Executive) admit card for tier I is released in online mode only. To fill the application form of IB Security Assistant(Executive), candidates must check the eligibility criteria in order to avoid rejection at later stages. ",IB Security Assistant/Executive Exam,IB Security Assistant Exam,Intelligence Bureau Ministry of Home Affairs,Vacancy Based,NA,English,Online,50 Rs ,NA,NA,NA,NA,NA,NA,NA,"Candidates who successfully submit the application form of IB Security Assistant(Executive) can only be able to download the admit card till the date of examination. The IB Security Assistant(Executive) admit card is available in online mode and candidates can download it by using their registration number and date of birth in the login window.,Candidates qualifying the tier - I exam can download the admit card for IB Security Assistant(Executive) for tier - II. The IB Security Assistant(Executive) Admit Card for tier - II have details like name, registration number, time of the exam, the address of exam centre, candidate's photograph and signature. It can be downloaded by using their login credentials - roll number/registration number and date of birth/password."
IB ACIO Exam,"Ministry of Home Affairs conducts ACIO exam in order to recruit the candidates as Assistant Central Intelligence Officer (ACIO) Grade-II/Executive. The exam is conducted for the recruitment at Intelligence Bureau in the Ministry of Home Affairs. Candidates between 18 to 27 years of age who hold graduation degree can apply for ACIO. The exam of ACIO will be conducted for three phases - Tier I, II and Interview. Tier I exam will be objective type while the tier II exam will be descriptive. The objective paper will contain 100 marks questions while 50 marks questions will be asked for the descriptive part. Candidates who qualify in tier I will be called for the tier II exam. Tier II qualified candidates will further have to appear for an interview round after which the final result will be declared. ACIO is expected to be conducted at various centres at 33 cities across the country.  ACIO final result will be declared by taking the performance of the candidates in both tier I and II into consideration. Candidates who qualify in the ACIO exam can be posted anywhere in India.",Intelligence Bureau Assistant Central Intelligence Officer Exam,IB ACIO,Intelligence Bureau Ministry of Home Affairs,NA,NA,English,Online,100 Rs ,NA,Online / Offline,NA,NA,NA,NA,NA,NA
RPF SI Exam,"The Ministry of Railways conducts Railway Protection Force (RPF) SI to recruit both male and female candidates for the post of Sub Inspector. The Ministry releases vacancies for Sub Inspector post for both male and female candidates. The Computer Based Test of RPF SI is conducted on different dates as per group in 15 regional languages. The exam contains questions from General Intelligence & Reasoning, General Knowledge, Numerical Aptitude, General English carrying 200 multiple choice questions. The conducting authorities shortlist 10 times the number of vacancies candidates category-wise and call them called for Physical Efficiency Test (PET),  Physical Measurement Test (PMT) and Document Verification (DV). Candidates who qualify PET, PMT and DV stage are selected for recruitment for the post of Sub-Inspector under Railway Protection Force and Railway Protection Special Force.",Railway Protection Force and Railway Protection Special Force Sub Inspectors Exam,RPF SI,Ministry of Railways,Vacancy Based,NA,"Assamese, Bengali ",Online,500 Rs ,Online,Online / Offline,1 Hour 30 Minutes,1120 Seats,NA,NA,NA,NA
TN MRB Assistant Medical Officer/Lecturer Grade-II Exam,"Medical Services Recruitment Board (MRB), Tamil Nadu will release the application form of TN MRB Assistant Medical Officer/Lecturer Grade-II for the recruitment of candidates into different medical branches as Assistant medical Officers/Lecturer Grade II. Candidates up to 35 years of age who hold a degree or diploma in the required field with their names registered with Tamil Nadu Board of Indian Medicine can apply for TN MRB Assistant Medical Officer/Lecturer Grade-II. The application form of TN MRB Assistant Medical Officer/Lecturer Grade-II can be filled in online mode along with the payment of the prescribed application fee as per the category of the candidates. The exam will be conducted in online mode consisting of 200 objective questions at various centres of Chennai only.",Tamil Nadu Medical Services Recruitment Board Assistant Medical Officer/Lecturer Grade-II,TN MRB Assistant Medical Officer/Lecturer Grade-II,Medical Services Recruitment Board (MRB),NA,NA,English,Online,750 Rs ,Offline,Offline,2 Hours 30 Minutes,NA,NA,NA,NA,NA
Bihar Judicial Service Examination Exam,"Bihar Public Service Commission (BPSC) conducts Bihar Judicial Services exam for Civil Judges Posts. The selection of the candidates for the posts of Civil Judges is done on the basis of prelims, mains examination and interview. Candidates who are between 22 to 35 years and have a degree in law are eligible to apply for Bihar Judicial Services application form. Candidates who will appear for the preliminary exam will be eligible to appear for the mains. Shortlisted candidates in the mains exam will have to appear for the personal interview. BPSC has recently notified a total of 155 vacancies to fill the posts of Judicial services.",Bihar Judicial Service Examination for Civil Judge Posts,Bihar Judicial Service Examination,Bihar Public Service Commission,Vacancy Based,NA,"English, Hindi",Online,600 Rs ,Offline,NA,NA,155 Seats,NA,NA,NA,"The admit card of Bihar Judicial services will be available in three stages - preliminary, mains exams and personal interview.  The admit card for preliminary exam will be issued to the candidates who have successfully filled the application form. To download the admit card candidates will have to login with their username and password. Bihar Judicial Services admit card will carry details like roll number,name, category, date of birth, gender, date and time of exam, details of exam centre. Candidates must check the details printed on the admit card carefully. In case candidates find any mistake in the details printed on the admit card, they must  immediately inform the examination officials for required correction.,The mains admit card of Bihar Judicial Services will be issued only to those candidates who will qualify the mains exam. Candidates will have enter the registration id/ login id and password to download the admit card. The admit card will have details like roll number, name, gender, exam centres etc mentioned in the admit card.  Candidates have to carry the admit card on the day of examination."
NIELIT Scientist B and Technical Assistant Exam,"National Institute of Electronics and Information Technology (NIELIT) has released the notification about the recruitment of Scientist (Group-A) and Technical Assistant (Group-B) posts. As per official notification there are 495 vacancies out of them 288 are of Scientist (Group-A) while 207 are of Technical Assistant (Group-B). Applicants can fill application form between December 20 to January 18, 2022. Before filling the application form applicants should check the eligibility criteria. ",National Institute of Electronics & Information Technology Scientist B and Technical Assistant Exam,NIELIT Scientist B and Technical Assistant,National Institute of Electronics and Information Technology,NA,NA,NA,Online,800 Rs ,Offline,NA,3 Hours,495 Seats,NA,NA,http://www.nielit.gov.in/recruitments,"The admit card for written exam of NIELIT Scientist ‘B’ and Technical Assistant ‘A’ will be issued 15 days before the date of examination. Candidates can download the admit card by using their Application Number and Date of Birth. They will be intimated through SMS about the availability of admit card on the website. On the day of the written exam, candidates have to carry at least one valid photo identity proof along with the hard copy of admit card to the exam centre without which they will not be allowed to appear for the written examination. Call letters of the interview will be available only on the website. NIELIT will not send the call letters by post or any other modes.,* For any problems related to online submission of application form/downloading of admit card, please send e-mail to recruit@nielit.gov.in mentioning advertisement number in the subject. No other query will be entertained at this mail-id."
LS Secretariat Translator Exam Exam,Parliament of India (Joint Recruitment Cell) will release the notification of recruitment for the post of Translator (Group 'B' Non-Gazetted) in Lok Sabha Secretariat based on the number of vacant posts. The selection is done on the basis of preliminary examination followed by the mains examination. The application form is to be filled as in the format prescribed in the advertisement and submitted on the last date of application. There is no application fees as such prescribed in the advertisement. The date for examination will be notified later to candidates. Prelims exam is a scrutiny based exam to qualify candidates for mains exam. The final selection will be based on the performance of the candidate in the mains exam.,Lok Sabha Secretariat Translator Group B Exam,LS Secretariat Translator Exam,Joint Recruitment Cell Parliament of India,Once a year,NA,"English, Hindi",Offline,NA,NA,NA,NA,47 Seats,NA,NA,NA,NA
LIC AAO Exam,Life Insurance Corporation of India (LIC) has declared the LIC AAO prelims result 2023 online on March 10 on the official website at licindia.in. The LIC AAO mains exam is scheduled to be held on March 18. The LIC AAO exam 2023 for prelims was held on February 17 & 20. LIC issued the LIC AAO admit card 2023 online on February 10.,Life Insurance Corporation of India Assistant Administrative Officer,LIC AAO,Life Insurance Corporation of India,Vacancy Based,NA,English,Online,700 Rs ,Online,Online / Offline,2 Hours,300 Seats,NA,NA,https://www.licindia.in/,"As per the exam pattern of the LIC AAO exam, the prelims exam will have a total of 100 questions from English, Quantitative Aptitude and Reasoning Ability  for which candidates will be given a total of 1 hour. The test will be held in online mode., The marks scored in English Language will not be added for preparation of result.,The mains exam of LIC AAO is an objective test along with one descriptive test. The sections of mains exam of LIC AAO is different for different post. Candidates are given a total of 2 hours to complete the objective test. The authorities will also give a thirty minutes  time to the candidates to complete the descriptive test. Candidates can check below the exam pattern for the post of Generalist and IT/Chartered Accountant/Actuarial."
UPSC CAPF Exam," Union Public Service Commission will release the UPSC CAPF 2023 application form online on April 26, 2023.  ",Union Public Service Commission Central Armed Police Forces Exam,UPSC CAPF,Union Public Service Commission,Once a year,NA,NA,Online,200 Rs ,NA,UPSC CAPF Paper 2 offline,NA,NA,NA,NA,NA,"The paper 1 of UPSC CAPF will have General Ability and Intelligence test to check the candidates' awareness on the topics like current events of National and International Importance, History of India, Economy Indian Polity, World Geography etc. Paper 1 comprises of objective type questions carrying 250 marks. the mode of question paper will be in English or Hindi. Candidates will be given 120 minutes to answer the questions. The paper 1 exam will be held in the morning shift from 10 a.m. to 12.00 noon. As per marking scheme, there will be negative marking in this section. For each incorrect answer, 1/3 mark is deducted from total marks.,The paper 2 of UPSC CAPF comprises of General Studies, Essay and Comprehension and will be subjective in nature. Candidates will have to answer questions like essay writing, report writing, comprehension and passage etc. The total marks allotted to paper 2 will be 250 and the exam will be conducted for 3 hours. Paper 2 will be held in the afternoon between 2.00 p.m. to 5.00 p.m. There is no scheme of negative mark for this section.,Structure of Paper 2"
Maha SET Exam,"Savitribai Phule Pune University, formerly - The University of Pune conducts Maharashtra State Eligibility Test (Maha SET) every year in offline mode to award eligibility certificates using which candidates can apply as Assistant Professors in universities and colleges of Maharashtra and Goa. The MAHA TET exam will be conducted on March 26, 2023. The exam is held for 32 subjects. Candidates have to take 2 papers – Paper-I and II. Paper-I is general in nature while Paper-II is focused on the subjects selected by the candidates. All the papers are held in offline mode. Top 6% of the candidates with 40% aggregate marks (General category) and 35% marks (reserved categories) are considered qualified in Maharashtra SET. For both the states – Maharashtra and Goa, the reservation policy of the respective state will be followed for declaring the result of Maha SET. The reservation policy set by the Government is followed for the declaration of MH-SET result.",Maharashtra State Eligibility Test,Maha SET,Savitribai Phule Pune University,Vacancy Based,NA,"English, Hindi ",Online,800 Rs ,Offline,Offline,3 Hours,NA,NA,NA,NA,"Paper I is held to assess the teaching/ research aptitude of the candidates. It is designed to test reasoning ability, comprehension, divergent thinking and general awareness of the candidates. Each question carries 2 marks in Paper-I. There is no negative marking for wrong answers in this paper. Check marks, time limit, etc. in the table below.,This paper will test candidates on the knowledge of their selected subjects. Paper-II will be held for two hours wherein candidates have to answer 100 objective type questions based on the subject chosen by them. Each correct answer will fetch 2 marks. Incorrect answers will not draw any negative marks. The paper will be held for a total of 200 marks."
HP TET Exam," - The Himachal Pradesh Board of School Education will release the HP TET application form 2023 online on May 15, 2023 for June 2023 session on the official website at hpbose.org. HPBOSE has released the HP TET exam dates 2023 for June & November 2023 sessions. ",Himachal Pradesh Teachers Eligibility Test,HP TET,Himachal Pradesh Board of School Education,2 times a year,NA,"English, Hindi ",Online,800 Rs ,Offline,NA,2 Hours 30 Minutes,NA,NA,NA,https://www.hpbose.org/,"HP TET Exam Pattern – JBT (Junior Basic Training) - Section - I,HP TET Exam Pattern – TGT (NM) & (TGT Medical) and (TGT Arts) – Section – I and II,HP TET Exam Pattern - L.T and Urdu Language Teacher (Section I and II),HP TET Exam Pattern - Shastri (Section I and II),HP TET Exam Pattern -  Punjabi,HP TET Exam Pattern - Urdu Language Teacher,HP TET Exam Pattern – JBT (Junior Basic Training) - Section II, III, IV and V,HP TET Exam Pattern – TGT (NM) & (TGT Medical) and (TGT Arts) – Section – III and IV"
APPSC Group 1 Exam,"Andhra Pradesh Public Service Commission (APPSC) released the notification about the Group 1 Service exam for the recruitment of various vacancies in the Government of Andhra Pradesh on September 30, 2022. Applications were invited through online mode only. Candidates should read the notification of APPSC Group 1 exam carefully before applying for this recruitment. Candidates should make sure that they are eligible for this APPSC Group 1 recruitment. By completing the One Time Profile Registration (OTPR), candidates will generate a user ID. By using the user ID and password, candidates can apply for the posts of Group 1 services exam.",Andhra Pradesh Public Service Commission Group 1 Exam,APPSC Group 1,Andhra Pradesh Public Service Commission,Vacancy Based,NA,"English, Telugu",Online,370 Rs ,NA,NA,NA,92 Seats,NA,NA,https://psc.ap.gov.in/," The preliminary exam includes one section (objective type), the main examination includes five papers (descriptive type) and Oral test in the form of Interview. Candidates who cleared the APPSC group 1 preliminary exam will be called for the main written exam., The Main exam will be conducted in offline mode (Conventional/Descriptive). There are totally five papers in the APPSC Group 1 main exam. Each wrong answer will be penalized with 1/3rd of the marks. Candidates who appeared in the APPSC group 1 main exam will be short-listed for the oral test. The final selection will be based on the merit list prepared by combining the main exam and oral test marks."
UPSC IES/ISS Exam," Union Public Services Commission will release the UPSC IES/ISS notification 2023 on April 19, 2023 on the official website - upsc.gov.in. Along with the notification, the commission will release the UPSC IES/ISS application form 2023. The last date to fill the UPSC IES/ISS application form is May 9, 2023. UPSC IES/ISS 2023 exam is scheduled to be conducted from June 23 to 25, 2023.",UPSC Indian Economic Service/Indian Statistical Service Exam,UPSC IES/ISS,Union Public Service Commission,Once a year,NA,English,Online,200 Rs ,Offline,NA,NA,26 Seats,NA,NA,NA,"The exam authorities will release the UPSC IES ISS admit card 2023 in online mode on upsc.gov.in. UPSC ISS/IES admit card will be able to download by entering the registration ID or roll number and date of birth. Candidates who do not receive the admit card must inform the commission three weeks before the commencement of the examination.,The admit card contains details like exam centre, candidate’s name, signature, time, photograph, date and guidelines for the exam. Candidates who qualify written exam will be issued admit card for viva- voce.,The admit card card of UPSC IES/ISS is released separately for written exam and Viva voce online. The admit card of written exam is issued to only those candidates who fill the application form successfully.,UPSC IES/ISS admit card contains the following details:"
IDBI Bank Executive Exam,"The authority has activated the IDBI application form 2022 link for Assistant manager grade A on the official website. Candidates can fill the IDBI 2022 application form from February 17 to 28, 2023. The IDBI exam will be conducted in various exam centres across the country.",Industrial Development Bank of India Executive Recruitment,IDBI Bank Executive,Industrial Development Bank of India,Vacancy Based,NA,"English, Hindi",Online,1000 Rs ,Online,Offline,2 Hours,1544 Seats,NA,NA,https://www.idbibank.in/index.asp,"IDBI will release the IDBI Executive Recruitment admit card in online mode on the official website. The admit card for the online test, documents verification and the pre-recruitment medical test will be released separately. Candidates who have successfully paid the application fee and submitted the IDBI Executive Recruitment application form will only be able to download the admit card.,They can download the IDBI Executive Recruitment admit card from the official website by entering their login credentials. The admit card will likely to contain details like name, roll number, category, time of the exam, photograph and signature and address of exam centre.,Documents required to carried during documents verification and pre-recruitment medical test (original and photocopy)"
CSPHCL AE JE Recruitment Exam,"Chhattisgarh State Power Holding Company Limited recruits candidates for the post of Assistant Engineer (AE) Trainee and Junior Engineer (JE) Trainee in Chhattisgarh State Power Distribution, Transmission, & Generation Co. Ltd.  Previous year, CSPHCL had announced 148 Assistant Engineer (AE) Trainee and 245 Junior Engineer (JE) Trainee posts. The selection process for CSPHCL AE JE Recruitment involves an online computer based test followed by an interview. All selected candidates have to undergo on the job training and institutional training for a total of 12 months. Evaluation of performance in the training period will be assessed through a written exam followed by an assessment by MD.",Chhattisgarh State Power Holding Company Limited Assistant and Junior Engineer Exam,CSPHCL AE JE Recruitment,Chhattisgarh State Power Holding Company Limited,NA,NA,"English, Hindi",Online,NA,Online,Online / Offline,2 Hours,NA,NA,NA,NA,"The admit card of CSPHCL AE JE exam is released in online mode. Candidates can download their admit card by entering registration number and the password in the login window. The admit card carry details such as centre details, date and time of the examination and among others. The candidates must bring a printout of CSPHCL AE JE Admit Card at the examination centre along with original ID Proof. No candidate is allowed to enter the examination hall without the admit card and anyone of the ID proofs as below:"
Indian Bank PO Exam,"Indian Bank conducts Indian Bank PO exam for the recruitment of Probationary Officers at the Indian Bank. The India Bank PO is held in three stages - prelims, mains and interview. Candidates who want to apply for Indian Bank PO must have a graduation degree in any discipline from a recognized university and must be between 20 to 30 years of age. Candidates who will qualify all the three stages of selection procedure of Indian Bank PO exam will have to undergo one year of Post Graduate Diploma in Banking and Finance training programme at Indian Bank Manipal School of Banking (IBMSB), Bangalore. On successful completion of the training programme, candidates will be awarded the diploma certificate and will be appointed in JMG - I at Indian Bank.",Indian Bank Probationary Officer Exam,Indian Bank PO,Indian Bank,Once a year,NA,"English, Hindi",Online,600 Rs ,NA,NA,NA,NA,NA,NA,NA,"Indian Bank released the admit card of Indian Bank PO for prelims exam in online mode. Only those candidates can download the admit card who had successfully submitted Indian Bank PO application form. Candidates could download their admit card by entering their registration number/roll number and date of birth/password. Indian Bank PO prelims admit card contained name of the candidate, date of birth, time of the exam, the address of the exam centre and timing of the exam.,Indian Bank releases the Indian Bank PO admit card for mains exam in online mode. Candidates qualifying the preliminary exam can download the Indian Bank PO admit card. Candidates can download the admit card by entering their login credentials like registration number/roll number and date of birth/password in the login window. The mains admit card contained details like name, registration number, time of the exam, the address of exam centre, candidate's photograph and signature."
USET Exam,"Kumaun University will conduct the Uttarakhand State Eligibility Test (USET) for the appointment of Assistant Professors in the State of Uttarakhand. Candidates who wish to appear in USET, have to pass the Master degree from a recognised by U.G.C with 55% marks (50% for OBC/SC/ST/PwD) to be eligible for the test. The application form of USTET will be available online in August. Registered candidates have to download their admit card within the prescribed time period to appear in the examination. The exam will be held in offline mode for three papers in two separate sessions. The paper I and II will be conducted in the morning session while Paper III will be held in the afternoon session. The selection of USTET will be on the basis of written test. However only top 6% of the appearing candidates who appear in all three papers and secure atleast 40% aggregate marks for General category (35% aggregate marks for reserved categories) will be declared qualified for eligibility for Assistant Professor. ",Uttarakhand State Eligibility Test,USET,Kumaun University,NA,NA,"English, Hindi",Online,1000 Rs ,Offline,Online / Offline,NA,NA,NA,NA,NA,NA
NSC Management Trainee Exam,"National Seeds Corporation Limited (NSCL) conducts National Seeds Corporation Management Trainee exam in offline mode for recruiting eligible candidates at the posts of Management Trainee, Senior Trainees, Diploma Trainees, Trainees and Trainee Mate. Candidates for all these posts have to appear in a written examination. Management Trainees have to further appear in interview and document verification after the written examination, while candidates applying for the posts of Senior Trainees, Diploma Trainees, Trainees and Trainee Mate have to get their documents verified directly after the written exam. This means that there is no interview for all the posts (except Management Trainees). Selection of Management Trainees is done based on candidates marks in written exam and interview. Selection of candidates for the posts of Senior Trainees, Diploma Trainees, Trainees and Trainee Mate is done based on their marks in written examination given that their document/certificates are verified.  ",National Seeds Corporation Limited Management Trainee,NSC Management Trainee,National Seeds Corporation Limited,NA,NA,"English, Hindi",Online,500 Rs ,Offline,Online / Offline,2 Hours,220 Seats,NA,NA,NA,"There is only one written (offline) exam for all posts of NSC Management Trainee Exam. The paper will have 100 questions which need to be completed in 2 hours. There will be 2 sections in the paper – Section A and B. Section A would have 70 multiple choice questions, while section B would have 30 questions, except the paper for Trainee Mate (Agriculture) which has only 1 section. Each correct answer would fetch 1 mark and there is no negative marking for incorrect answers.,Candidates can apply for only one post (in individual Group i.e I, II, III, IV) but candidates applying for Management Trainee/Trainee/Trainee (Mate) posts can also apply for Sr.  Trainee/Diploma Trainee post or vice-versa as the written exam is held in two shifts."
HP SET Exam,The Himachal Pradesh Public Service Commission (Authorized Agency) conducts the State Eligibility Test (SET) for determining the Eligibility for recruitment to the post(s) of Assistant Professor(s) in universities and colleges located within the State of Himachal Pradesh. Candidates applying must ensure that they fulfill all eligibility conditions for admission to the State Eligibility Test (SET). The HP SET is conducted in 22 subjects as given below. Eligible candidates can fill the application form in online mode. The admit card is issued 5 days prior to the exam date to only those candidates who fill the application form successfully. The result is declared in online mode. The Test consists of two papers - paper I and II. Both the papers consist of only objective type questions. The exam is held on a single day in two separate sessions.,Himachal Pradesh State Eligibility Test,HP SET,Himachal Pradesh Public Service Commission,Once a year,NA,English,Offline / Online,700 Rs ,Offline,NA,3 Hours,NA,NA,NA,NA,The admit card of HP SET was released in online mode. Candidates must take a printout of the HP SET admit card. They have to carry the admit card on the day of exam as not candidate will be allowed to sit for the exam without it.
UPSC Combined Geo-Scientist and Geologist Exam Exam," Union Public Service Commission has declared the UPSC Geo-Scientists and Geologists result 2023 for prelims exam on March 3 at upsc.gov.in.  The exam authorities conducted the UPSC Geo-Scientists and Geologist prelims exam on February 19, 2023 and the mains exam will be conducted on June 25, 2023.",Union Public Service Commission Combined Geo Scientist/Geologists Exam,UPSC Combined Geo-Scientist and Geologist Exam,Union Public Service Commission,Once a year,NA,English,Online,200 Rs ,Offline,Offline,NA,256 Seats,NA,NA,NA,"Union Public Service Commission (UPSC) has prescribed the exam pattern of UPSC combined Geo-Scientists and Geologists. Candidates appearing for the post of Geologist, Geophysicist, Chemist, Junior Hydrogeologist must check the subjects of the preferred posts. The questions asked in the UPSC combined Geo-Scientists and Geologists exam will be subjective in nature."
AAI Junior Assistant Fire Service Exam,"Airports Authority of India conducts the AAI Junior Assistant Fire Service (Airports Authority of India Junior Assistant Fire Service Exam) for the online recruitment of various posts in the southern region. The candidates who are domicile of Tamil Nadu, Andhra Pradesh, Telangana, Karnataka, Kerala, Pondicherry or Lakshadweep islands can only apply for these posts. ",Airports Authority of India Junior Assistant Fire Service Exam,AAI Junior Assistant Fire Service,Airports Authority of India,Vacancy Based,NA,English,Online,1000 Rs ,Online,NA,2 Hours,156 Seats,NA,NA,NA,"The exam for Junior Assistant (Fire Service) involves two stages, wherein stage 1 is a computer-based test. Questions based on arithmetic, general English, general knowledge are asked for a total of 100 marks. A candidate belonging to general or OBC category must score 50 to qualify for stage 2 (40 for SC/ST). Stage 2 involves document verification, followed by medical, driving and endurance test. The endurance test includes activities such as 100m running, rope climbing, pole climbing, ladder climbing, 60m running with human dummy etc. A candidate must clear all the stages to be finally selected for training and appointment.,The exam for Senior Assistant (Fire Service) also has a computer-based test wherein the 70% questions are asked from subjects related to educational qualification and 30% are from general knowledge, general aptitude, english etc. The students who qualify the written test will go through the document verification after which they are selected for training before the final appointment."
SSB Group B and C Exam,"Sashastra Seema Bal (SSB) invites applications for filling up Group B and C posts like Sub-Inspector, Assistant Sub-Inspector, Head Constable, etc. Around 200 vacancies are announced in each cycle of the SSB Group B and C recruitment exam. The selection of candidates is done on the basis of Physical Efficiency Test (PET), Physical Standard Test (PST), Documentation, Written Examination, and Detailed Medical Examination (DME). The final selection list will be prepared after completion of the medical examination. Candidates are selected for different posts on the basis of their rank in the merit list.  ",Sashastra Seema Bal Recruitment for Group B and C,SSB Group B and C,Sashastra Seema Bal,NA,NA,NA,Online,NA,Offline,Offline,NA,NA,NA,NA,NA,NA
Syndicate Bank PO Exam,"Syndicate Bank conducts Syndicate Bank PO for admission to the one year Post Graduate Diploma in Banking and Finance course in Manipal Global Education Services Pvt Ltd. (MaGE) and Nitte Education International Pvt Ltd (NEIPL) Greater Noida. Syndicate Bank PO includes two stages - appearing in the online test conducted by IBPS followed by Personal Interview (PI) and Group Discussion (GD). To appear in Syndicate Bank PO, candidates must be between 20 to 28 years of age and should have a graduation degree or equivalent. The Syndicate Bank PO online exam will comprise of 200 objective and 2 descriptive type questions carrying 250 marks in total. Shortlisted candidates in the online test will be called for PI and GD on the basis of the marks obtained in Syndicate Bank PO. However, selected candidates will be required to score sectional and overall cutoff marks as decided by the authority. The final merit list will be prepared on the basis of the performance in the online test and PI/GD as decided by the Syndicate Bank. In 2018, a total of 500 vacancies were filled through Syndicate Bank PO.",Syndicate Bank Probationary Officer Exam,Syndicate Bank PO,Syndicate Bank,Vacancy Based,NA,"English, Hindi",Online,600 Rs ,Online,Online,2 Hours 30 Minutes,NA,NA,NA,NA,"The admit card will be released in online mode for the online test and interview process. To download Syndicate Bank PO admit card, candidates must enter registration number and password/date of birth. Only those candidates whose application forms will be accepted by the exam conducting authority will be issued Syndicate Bank PO admit card. Before downloading the admit card of Syndicate Bank PO, candidates must make sure that all the details mentioned on it are correct."
TPSC CCE Exam," Tripura Public Service Commission (TPSC) conducts Combined Competitive Examination (CCE) for the recruitment to the miscellaneous posts. The application form can be filled from August 25, 2022. Candidates who are between 18 to 40 years of age can apply for TPSC CCE. The selection of TPSC CCE will be done on the basis of preliminary, mains and personality test.  On the basis of personality test candidates will be recruited to various posts. In order to get recruited, candidates will have to qualify in all the stages of selection procedure.",Tripura Public Service Commission Combined Competitive Exam,TPSC CCE,Tripura Public Service Commission,NA,NA,English,Offline / Online,200 Rs ,Offline,Offline,NA,140 Seats,NA,NA,https://tpsc.tripura.gov.in/,"The admit card of TPSC CCE will be issued in three stages - preliminary, mains and personality test. Candidates who successfully fill the application form will be issued the admit card for preliminary exam. To download the admit card candidates have enter the registration number and password. After downloading the admit card, candidates must check the details printed on the admit card. If there is any discrepancy in the admit card candidates must contact the commission.,The admit card of mains exam will be issued to the candidates who qualify the preliminary exam. Candidates will be able to download the admit card from the official website. The admit card of mains exam of TPSC CCE can be downloaded by entering the registration id and password. Candidates must check the admit after downloading it to avoid any discrepancy. Candidates who will be selected for mains exam will be issued admit card for personality. Candidates must carry any one photo- identity proof along with admit card on the day of examination."
CIL MT Recruitment Exam,Coal India Limited (CIL) publishes the notification regarding the recruitment of Management Trainees under different fields. The candidates willing to work with CIL must fill the application form available in online mode. They should check the eligibility conditions as specified before filling the application form. The selection for the various post of Management Trainee under CIL completely depends upon the performance of the candidate in the online test followed by the personal interview. Students who qualify the online test will be called further for the interview.,CIL Recruitment of Management Trainees,CIL MT Recruitment,Coal India Limited,Vacancy Based,NA,"English, Hindi",Online,1000 Rs ,Online,NA,3 Hours,481 Seats,NA,NA,NA,"Admit card for CIL will be released in the online mode. It will have the details regarding the date, time and venue for the exam. There will be separate admit cards for both the stages. The candidates will also be intimated about the release on their registered email id or mobile number."
Bihar TET Exam,"Bihar School of Examination Board conducts Bihar TET (Teachers Eligibility Test) in offline mode in order to check candidates' eligibility for the appointment as teachers for primary as well as elementary classes. As per the exam conducting body, the exam is conducted for two papers - Paper I (Class I to V) and Paper II (Class VI to VIII). Candidates who qualify BETET are awarded TET eligibility certificates using which they can apply in governments as well as in private schools of Bihar. Bihar TET 2019 was conducted on January 28, 2020 but the exam was cancelled due to leakage of question papers. The new dates have been released by the BSEB on August 11, 2020. As per the new dates, the exam will now be held from September 09 to 11, September 14 to 18 and on September 21, 2020.",Bihar Teacher Eligibility Test,Bihar TET,Bihar School Examination Board,Vacancy Based,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bsebstet2019.in/#no-back-button,"The admit card of BTET 2019 is issued by the exam conducting body for both the papers (I and II). The admit card is released in online mode and can be downloaded by entering registration number/ roll number and date of birth and password. BTET admit card contains details like name, roll number, category, photograph and signature, timing of exam, and address of the exam centre. Candidates have to carry one photo identity card such as Aadhaar Card, Pan Card, Driving License, Voter ID Card and Passport along with the BTET admit card."
